,High,ISIN,Last,Last Date/Time,Low,Market,Name,Open,Symbol,Ticker,Time Zone,Trading Currency,Turnover,Volume,City,sector,industry,ebitdaMargins,profitMargins,revenueGrowth,operatingMargins,returnOnAssets,recommendationKey,recommendationMean,debtToEquity,totalCashPerShare,quickRatio,exchange,beta,enterpriseToEbitda,enterpriseToRevenue,bookValue,earningsQuarterlyGrowth,forwardPE,mostRecentQuarter,logo_url
409,1.68,BE0003463685,1.68,02/08/2021 16:30,1.68,Euronext,CUMULEX,1.68,CLEX,CLEX.BR,CET,EUR,1.68,1,Brussels,Consumer Defensive,Confectioners,0.0,0.0,,0.0,-2.35536,none,,,0.009,0.004,BRU,-3.139856,,,-4.884,,,2020-06-30,https://logo.clearbit.com/cumulex.be
410,0.0003,FR0013505583,0.0002,13/08/2021 17:35,0.0002,Euronext Growth,CYBERGUN,0.0003,ALCYB,ALCYB.PA,CET,EUR,65565.5071,305674780,Paris,Consumer Cyclical,Leisure,0.0,-0.43543997,-0.171,-0.67477,,none,,369.429,80.787,0.622,PAR,0.506909,,0.47,140.085,,,2019-09-30,https://logo.clearbit.com/cybergun.com
411,0.0015,FR0013340817,0.0015,02/08/2021 13:58,0.0015,Euronext Growth,CYBERGUN BSA 2,0.0015,CYBBT,CYBBT.PA,CET,EUR,61.86,41240,Paris,nan,nan,,,,,,nan,,,,,PAR,,,,,,,No info,
412,0.005,FR0013507977,0.005,10/08/2021 11:46,0.005,Euronext Growth,CYBERGUN BSA K1,0.005,CYBK1,CYBK1.PA,CET,EUR,49,9800,Paris,nan,nan,,,,,,nan,,,,,PAR,,,,,,,No info,
413,0.0025,FR0013507985,0.0025,11/08/2021 11:19,0.0025,Euronext Growth,CYBERGUN BSA K2A,0.0025,CYBKA,CYBKA.PA,CET,EUR,22.24,8896,Paris,nan,nan,,,,,,nan,,,,,PAR,,,,,,,No info,
414,0.0015,FR0013508009,0.0015,11/08/2021 11:20,0.0015,Euronext Growth,CYBERGUN BSA K2B,0.0015,CYBKB,CYBKB.PA,CET,EUR,8.35,5568,Paris,nan,nan,,,,,,nan,,,,,PAR,,,,,,,No info,
415,46.49,NO0010015175,46.49,13/08/2021 15:26,45,Euronext Growth,CYVIZ,46,CYVIZ,CYVIZ.OL,CET,NOK,124075.425,2708,Oslo,Technology,Computer Hardware,0.0,0.0,,0.0,,none,,,,,OSL,,,,,,,No info,https://logo.clearbit.com/cyviz.com
416,142.1,BE0974259880,139.4,13/08/2021 17:35,139.2,Euronext,D'IETEREN GROUP,142.1,DIE,DIE.BR,CET,EUR,3480092.2,24744,Brussels,Consumer Cyclical,Auto & Truck Dealerships,0.02447,0.04277,0.011,0.0103400005,0.00621,none,,3.77,20.391,3.255,BRU,1.382154,81.13,1.985,51.318,,,2020-12-31,https://logo.clearbit.com/dieterengroup.com
417,13.9,FR0010404368,13.9,13/08/2021 14:26,13.9,Euronext Growth,D.L.S.I.,13.9,ALDLS,ALDLS.PA,CET,EUR,3210.9,231,Paris,Industrials,Staffing & Employment Services,0.01594,-0.00285,-0.202,0.011039999,0.00985,none,,50.18,7.701,1.224,PAR,1.81762,15.632,0.249,18.979,-0.351,5.1648355,2020-12-31,https://logo.clearbit.com/groupedlsi.com
418,3.93,IE00BJMZDW83,3.82,13/08/2021 21:00,3.715,Euronext,DALATA HOTEL GP.,3.93,DHG,DHG.IR,IST,EUR,1042951.455,275203,Dublin,Consumer Cyclical,Lodging,-0.025899999,-0.73584,-0.754,-0.22444999,-0.0102699995,none,,77.491,0.225,0.91,ISE,2.021885,-412.901,10.695,4.188,,,2020-12-31,https://logo.clearbit.com/dalatahotelgroup.com
419,14.7,FR0000077885,14.7,09/07/2021 11:30,14.7,Euronext Access,DAMARIS,14.7,MLDAM,MLDAM.PA,CET,EUR,14.7,1,Paris,Technology,Software—Application,0.18371001,0.10399,,0.0,,none,,,,1.569,PAR,2.197297,,,,,,No info,https://logo.clearbit.com/damaris.fr
420,20.2,FR0000185423,20.2,13/08/2021 16:27,20.2,Euronext Growth,DAMARTEX,20.2,ALDAR,ALDAR.PA,CET,EUR,727.2,36,Paris,Consumer Cyclical,Apparel Retail,-0.0034,-0.07146,0.042,-0.0253,-0.02095,none,,109.509,12.977,0.538,PAR,1.230078,-88.432,0.3,14.937,4.839,6.928571,2020-12-31,https://logo.clearbit.com/damartex.com
421,64.64,FR0000120644,64.48,13/08/2021 17:35,64.05,Euronext,DANONE,64.05,BN,BN.PA,CET,EUR,92272928.92,1432495,Paris,Consumer Defensive,Packaged Foods,0.19724001,0.08635,-0.029,0.13655,0.04301,none,,105.75,9.665,0.792,PAR,0.663625,10.911,2.152,24.939,0.052,16.911932,2021-06-30,https://logo.clearbit.com/danone.com
422,1000,FR0000121725,994.5,13/08/2021 17:35,989.5,Euronext,DASSAULT AVIATION,999,AM,AM.PA,CET,EUR,2829533,2848,Paris,Industrials,Aerospace & Defense,0.084989995,0.08106,0.17,0.0692,0.018099999,none,,5.125,433.701,0.549,PAR,1.191919,9.832,0.836,548.382,5.617,,2021-06-30,https://logo.clearbit.com/dassault-aviation.com
423,48.375,FR0014003TT8,47.89,13/08/2021 17:35,47.75,Euronext,DASSAULT SYSTEMES,48.2,DSY,DSY.PA,CET,EUR,42530954.89,887352,Paris,Technology,Software—Application,0.22454001,0.12315,0.034,0.17884001,0.036229998,none,,74.7,10.391,1.764,PAR,0.626865,54.414,12.218,21.329,0.552,15.026547,2021-03-31,https://logo.clearbit.com/3ds.com
424,0.71,IE0000527006,0.7,13/08/2021 21:02,0.685,Euronext Growth,DATALEX PLC,0.71,DLE,DLE.IR,IST,EUR,45097.02,64184,Dublin,Technology,Software—Application,0.07323,-0.27910998,-0.415,0.04458,0.031630002,none,,,0.042,0.383,ISE,0.538971,27.514,2.015,-0.269,,,2020-06-30,https://logo.clearbit.com/datalex.com
425,0.0545,FR0013066750,0.0515,13/08/2021 17:29,0.051,Euronext Growth,DBT,0.0545,ALDBT,ALDBT.PA,CET,EUR,94663.7293,1807466,Paris,Industrials,Specialty Industrial Machinery,-1.43838,-1.7083299,,-1.5646499,-0.27599,none,,36.099,0.011,1.264,PAR,2.895622,-2.19,3.151,0.031,,-0.105,2020-12-31,https://logo.clearbit.com/dbt.fr
426,8.498,FR0010417345,8.408,13/08/2021 17:35,8.274,Euronext,DBV TECHNOLOGIES,8.484,DBV,DBV.PA,CET,EUR,1476038.27,175941,Paris,Healthcare,Biotechnology,0.0,0.0,,-29.195501,-0.29851,none,,8.952,2.284,3.243,PAR,2.224466,-2.91,77.334,3.748,,-2.0004597,2021-06-30,https://logo.clearbit.com/dbv-technologies.com
427,3.6,BE0003789063,3.58,13/08/2021 17:35,3.54,Euronext,DECEUNINCK,3.57,DECB,DECB.BR,CET,EUR,419676.34,117410,Brussels,Industrials,Building Products & Equipment,0.12546,0.037750002,0.099,0.07565,0.051069997,none,,65.408,0.773,0.983,BRU,1.02521,6.833,0.857,1.751,,,2020-12-31,https://logo.clearbit.com/deceuninck.com
428,9.97,FR0014003G01,9.97,11/08/2021 16:42,9.97,Euronext,DEE TECH SHARES,9.97,DEE,DEE.PA,CET,EUR,338.98,34,Paris,Financial Services,Shell Companies,0.0,0.0,,0.0,,none,,,,,PAR,,,,,,,No info,
429,0.3,FR0014003G19,0.3,13/08/2021 09:00,0.3,Euronext,DEE TECH WARRANTS,0.3,DEEW,DEEW.PA,CET,EUR,3000,10000,Paris,nan,nan,,,,,,nan,,,,,PAR,,,,,,,No info,
430,7.65,NO0010955917,7.599,13/08/2021 11:49,7.5,Euronext Growth,DEEP VALUE DRILLER,7.65,DVD,DVD.OL,CET,NOK,72586.358,9548,Oslo,Energy,Oil & Gas Drilling,0.0,0.0,,0.0,,none,,,,,OSL,,,,,,,No info,
431,0.6,FR0010879056,0.594,13/08/2021 17:35,0.588,Euronext Growth,DEINOVE,0.6,ALDEI,ALDEI.PA,CET,EUR,9697.209,16292,Paris,Healthcare,Biotechnology,0.0,0.0,-0.038,-12.0783205,-0.54534,none,,,0.12,1.178,PAR,0.846323,-3.972,40.219,-0.418,,-0.8461539,2020-12-31,https://logo.clearbit.com/deinove.com
432,62.8,FR0000054132,61.8,13/08/2021 17:35,61.8,Euronext Growth,DELFINGEN,62.8,ALDEL,ALDEL.PA,CET,EUR,61491.6,989,Paris,Consumer Cyclical,Auto Parts,0.14191,0.18731001,0.361,0.08632,0.04887,none,,109.694,9.67,1.145,PAR,1.522446,7.625,1.082,44.654,8.736,13.316063,2020-12-31,https://logo.clearbit.com/delfingen.com
433,0.0104,FR0011522168,0.0104,13/08/2021 17:35,0.0101,Euronext Growth,DELTA DRONE,0.0104,ALDR,ALDR.PA,CET,EUR,65042.7851,6336564,Paris,Industrials,Aerospace & Defense,-0.26966,-0.69692004,-0.344,-0.49228,-0.21422,none,,40.489,,1.204,PAR,2.08126,,,0.017,,,2020-12-31,https://logo.clearbit.com/deltadrone.com
434,0.004,FR0013400991,0.004,10/08/2021 11:21,0.004,Euronext Growth,DELTA DRONE BSA Y,0.004,ALDBY,ALDBY.PA,CET,EUR,49.38,12344,Paris,nan,nan,,,,,,nan,,,,,PAR,,,,,,,No info,
435,99.8,FR0013283108,98.9,13/08/2021 17:35,98.6,Euronext,DELTA PLUS GROUP,98.6,DLTA,DLTA.PA,CET,EUR,139118.5,1405,Paris,Consumer Cyclical,Footwear & Accessories,0.16091,0.10141,0.079,0.14995,0.07946,none,,98.301,6.376,0.794,PAR,1.224089,15.96,2.568,21.968,0.068,15.779467,2020-12-31,https://logo.clearbit.com/deltaplusgroup.com
436,9.92,FR0000053381,9.87,13/08/2021 17:35,9.665,Euronext,DERICHEBOURG,9.725,DBG,DBG.PA,CET,EUR,3713224.955,378281,Paris,Industrials,Waste Management,0.07263,0.02579,0.267,0.049650002,0.04449,none,,121.111,2.536,1.048,PAR,1.719977,8.307,0.603,3.741,2.286,,2021-03-31,https://logo.clearbit.com/derichebourg.com
437,15.8,NO0010963275,15.5,13/08/2021 16:18,15.5,Euronext Growth,DESERT CONTROL,15.72,DSRT,DSRT.OL,CET,NOK,600054.188,38098,Oslo,Basic Materials,Agricultural Inputs,0.0,0.0,,0.0,,none,,,,,OSL,,,,,,,No info,https://logo.clearbit.com/desertcontrol.com
438,0.12,SE0007045380,0.12,27/11/2018 16:44,0.11,Euronext Access,DESIGN YOUR HOME,0.11,MLDYH,MLDYH.PA,CET,EUR,2588.91,22581,Paris,Consumer Cyclical,Internet Retail,-0.07412,-0.08331,,0.0,-0.012560001,none,,,,1.47,PAR,0.323747,,,,,,No info,https://logo.clearbit.com/dyh-ab.se
439,17.9,FR0000060840,17.9,12/08/2021 11:30,17.9,Euronext Growth,DEVERNOIS,17.9,ALDEV,ALDEV.PA,CET,EUR,17.9,1,Paris,Consumer Cyclical,Apparel Manufacturing,-0.14267,-0.44140998,-0.227,-0.26368,-0.067779996,none,,156.343,7.308,0.385,PAR,0.020202,-7.796,1.112,33.662,,,2020-12-31,https://logo.clearbit.com/devernois.com
440,128.6,FR0000073793,126.8,13/08/2021 17:35,125.2,Euronext,DEVOTEAM,126.8,DVT,DVT.PA,CET,EUR,33738.2,266,Paris,Technology,Information Technology Services,0.100439996,0.0537,-0.04,0.09453,0.071,none,,33.91,18.872,1.082,PAR,1.049299,11.234,1.128,26.128,0.021,39.57576,2020-12-31,https://logo.clearbit.com/devoteam.com
441,1.23,NL0009169515,1.23,13/08/2021 15:45,1.18,Euronext,DGB GROUP N.V.,1.18,DGB,DGB.AS,CET,EUR,2402.8,1960,Amsterdam,Technology,Software—Application,0.36455002,-0.00711,0.226,0.33016998,0.022720002,none,,66.737,0.027,18.629,AMS,0.598204,26.181,9.544,0.726,,,2019-12-31,https://logo.clearbit.com/dgb.earth
442,42.925,GB0002374006,42.585,13/08/2021 16:29,42.585,Euronext,DIAGEO,42.81,DGE,DGE.PA,CET,EUR,895.19,21,Paris,Consumer Defensive,Beverages—Wineries & Distilleries,0.31209,0.09837,-0.045,0.28426,0.06291,none,,187.24,1.219,0.908,PAR,0.432835,30.411,9.491,2.919,-0.153,,2020-12-31,https://logo.clearbit.com/diageo.com
443,-,GB0002374006,-,-,-,Euronext,DIAGEO PLC,-,GUI1,GUI1.IR,IST,EUR,-,-,Dublin,nan,nan,,,,,,nan,,,,,ISE,,,,,,,No info,
444,1.48,FR0012202497,1.458,13/08/2021 17:18,1.458,Euronext,DIAGNOSTIC MEDICAL,1.478,DGM,DGM.PA,CET,EUR,11738.404,8013,Paris,Healthcare,Medical Devices,-0.08383001,-0.14871,-0.043,-0.10132,-0.05184,none,,87.018,0.105,0.61,PAR,1.569023,-12.531,1.051,1.056,,,2020-12-31,https://logo.clearbit.com/dms.com
445,129.5,BE0003698124,129.5,13/08/2021 11:30,129.5,Euronext,DIEGEM KENNEDYCERT,129.5,DIEG,DIEG.BR,CET,EUR,19425,150,Brussels,Real Estate,Real Estate Services,0.0,0.0,,0.0,,none,,,,,BRU,,,,,,,No info,
446,187,BE0003605160,187,13/08/2021 16:30,187,Euronext,DISTRI-LAND CERT,187,DISL,DISL.BR,CET,EUR,1496,8,Brussels,Real Estate,Real Estate Services,0.84961,0.0068900003,0.04,0.84732,0.19088,none,,475.147,,1.251,BRU,-0.057239,,,,,,2019-12-31,
447,7.38,NO0003055808,6.45,13/08/2021 16:29,6.4,B?rs,DLT,7.3,DLTX,DLTX.OL,CET,NOK,10489382.6,1523318,Oslo,Basic Materials,Other Industrial Metals & Mining,0.0,0.0,,0.0,,none,,,,,OSL,,,,,,,No info,https://logo.clearbit.com/dltasa.no
448,189.85,NO0010161896,188.9,13/08/2021 16:27,188,B?rs,DNB BANK,189,DNB,DNB.OL,CET,NOK,103050305.2,545471,Oslo,Financial Services,Banks—Regional,0.0,0.42258,0.182,0.52481,0.0074699996,none,,,447.766,,OSL,,,16.608,160.142,0.271,12.311828,2021-06-30,https://logo.clearbit.com/dnb.no
449,8.83,NO0003921009,8.61,13/08/2021 16:25,8.586,B?rs,DNO,8.82,DNO,DNO.OL,CET,NOK,17119518.26,1970596,Oslo,Energy,Oil & Gas E&P,0.57298,-0.1082,1.556,0.07074,0.01055,none,,91.437,0.466,2.396,OSL,2.885974,20.615,11.812,0.867,,25.696968,2021-06-30,https://logo.clearbit.com/dno.no
450,11.7,FR0010436584,11.7,13/08/2021 10:54,11.45,Euronext Growth,DNXCORP,11.45,ALDNX,ALDNX.PA,CET,EUR,3050.95,261,Paris,Communication Services,Internet Content & Information,0.15624,0.11659,,0.15209,0.097399995,none,,4.232,2.442,1.421,PAR,0.569375,5.059,0.79,5.32,,,2020-12-31,https://logo.clearbit.com/dnxcorp.com
451,472,FR0000065260,472,13/08/2021 16:30,472,Euronext,DOCK.PETR.AMBES AM,472,DPAM,DPAM.PA,CET,EUR,7552,16,Paris,Energy,Oil & Gas Refining & Marketing,0.40251,0.17714001,-0.071,0.36371,0.062979996,none,,,85.33,4.495,PAR,0.612493,6.182,2.488,509.887,-0.209,,2020-12-31,https://logo.clearbit.com/dpasa.fr
452,0.61,NO0010070063,0.607,13/08/2021 16:25,0.574,B?rs,DOF,0.585,DOF,DOF.OL,CET,NOK,635184.027,1057643,Oslo,Energy,Oil & Gas Equipment & Services,0.26116,-0.06112,0.179,0.12009,0.022750001,none,,,4.62,0.186,OSL,2.221208,11.089,2.896,-5.149,,0.62941176,2021-06-30,https://logo.clearbit.com/dof.no
453,0.4475,FR0014004QZ9,0.4392,13/08/2021 17:35,0.4022,Euronext Growth,DOLFINES,0.408,ALDOL,ALDOL.PA,CET,EUR,34687.2174,81452,Paris,Energy,Oil & Gas Equipment & Services,-0.71959,-0.87995005,-0.673,-0.75117,-0.19458,none,,33.204,0.078,1.989,PAR,3.818742,-4.16,2.994,0.256,,,2020-12-31,https://logo.clearbit.com/dietswell.com
454,12.542,IE00BLRPQQ22,12.25,03/08/2021 18:47,12.25,Euronext Growth,DONEGAL INVESTMENT,12.542,DQ7A,DQ7A.IR,IST,EUR,7779.02,621,Dublin,Consumer Defensive,Farm Products,0.09175,0.071279995,-0.109,0.070700005,0.04838,none,,26.595,1.809,1.333,ISE,-0.141414,9.35,0.858,6.794,0.771,,2021-02-28,https://logo.clearbit.com/donegaligroup.com
455,16,FR0013331212,15.75,13/08/2021 17:35,15.75,Euronext Growth,DONTNOD,16,ALDNE,ALDNE.PA,CET,EUR,29824,1877,Paris,Communication Services,Electronic Gaming & Multimedia,-0.00233,0.04024,0.42,-0.12747,-0.04008,none,,10.015,2.526,7.102,PAR,0.545948,-1841.167,4.294,7.793,,,2020-12-31,https://logo.clearbit.com/dontnod-bourse.com
456,1.715,NL0009197771,1.71,12/08/2021 13:17,1.71,Euronext,DPA GROUP,1.715,DPA,DPA.AS,CET,EUR,21274.61,12423,Amsterdam,Industrials,Staffing & Employment Services,0.18749,0.08352,-0.075,0.19489,,none,,,,,AMS,1.523007,3.448,0.646,1.363,,8.675,2021-06-30,https://logo.clearbit.com/dpa.nl
457,10.5,GB00BY7QYJ50,10.5,15/07/2021 18:18,10.5,Euronext,DRAPER ESPRIT PLC,10.5,GRW,GRW.IR,IST,EUR,504,48,Dublin,Financial Services,Asset Management,0.74858004,0.68563,-0.01,0.74347997,0.03344,none,,0.09,0.502,8.984,ISE,0.841141,28.539,21.364,5.996,-0.077,,2020-09-30,https://logo.clearbit.com/draperesprit.com
458,0.155,FR0013088606,0.1522,13/08/2021 17:35,0.1509,Euronext Growth,DRONE VOLT,0.1547,ALDRV,ALDRV.PA,CET,EUR,141828.1745,930534,Paris,Technology,Computer Hardware,-1.18506,-1.1724601,0.025,-1.29365,-0.19625999,none,,27.604,0.027,1.115,PAR,1.388888,-4.922,5.832,0.101,,5.04,2020-12-31,https://logo.clearbit.com/dronevolt.com
459,10.1,NL00150000S7,10.1,13/08/2021 16:54,9.92,Euronext,DSC2,10.1,DSC2,DSC2.AS,CET,EUR,8505.76,852,Amsterdam,Financial Services,Shell Companies,0.0,0.0,,0.0,,none,,,,,AMS,,,,,,,No info,https://logo.clearbit.com/dutchstarcompanies.com
460,-,NL00150002R5,-,-,-,Euronext,DSC2 TREAS SHARES,-,DSC2S,DSC2S.AS,CET,EUR,-,-,Amsterdam,nan,nan,,,,,,nan,,,,,AMS,,,,,,,No info,
461,177.65,NL0000009827,177.65,13/08/2021 17:35,175.9,Euronext,DSM KON,175.95,DSM,DSM.AS,CET,EUR,37158040.8,209641,Amsterdam,Basic Materials,Specialty Chemicals,0.16098,0.14609,,0.0945,0.03367,none,,36.347,10.754,1.544,AMS,0.552188,23.628,3.804,42.963,,37.323944,2021-06-30,https://logo.clearbit.com/dsm.com
462,1.5,NL00150000T5,1.5,31/05/2021 16:53,1.5,Euronext,DUTCH STAR C W11,1.5,DSCW1,DSCW1.AS,CET,EUR,525,350,Amsterdam,nan,nan,,,,,,nan,,,,,AMS,,,,,,,No info,
463,0.49,NL00150000U3,0.49,29/12/2020 14:54,0.49,Euronext,DUTCH STAR C W12,0.49,DSCW2,DSCW2.AS,CET,EUR,2270.17,4633,Amsterdam,nan,nan,,,,,,nan,,,,,AMS,,,,,,,No info,
464,0.821,NL00150000V1,0.821,29/12/2020 14:51,0.821,Euronext,DUTCH STAR C W13,0.821,DSCW3,DSCW3.AS,CET,EUR,3803.69,4633,Amsterdam,nan,nan,,,,,,nan,,,,,AMS,,,,,,,No info,
465,3.96,FR0000052920,3.96,15/03/2021 11:30,3.96,Euronext Access,DYNAFOND,3.96,MLDYN,MLDYN.PA,CET,EUR,59.4,15,Paris,Basic Materials,Aluminum,0.21999,0.14008,,0.20176001,0.15798001,none,,,,25.67,PAR,-0.757324,3.012,0.663,3.733,,,No info,https://logo.clearbit.com/dynafond.fr
466,2.08,LU0881232630,2.08,15/06/2021 11:30,2.08,Euronext Access,DYNEX ENERGY SA,2.08,MLDYX,MLDYX.PA,CET,EUR,10.4,5,Paris,Energy,Oil & Gas E&P,0.0,0.0,,0.0,-0.00031,none,,,,0.364,PAR,-0.033315,,,14.696,,,No info,https://logo.clearbit.com/dynex-energy.com
467,5.32,FR0014004339,5.32,13/08/2021 17:21,5.32,Euronext Growth,E PANGO,5.32,ALAGO,ALAGO.PA,CET,EUR,14039.48,2639,Paris,Utilities,Utilities—Renewable,0.05678,0.04875,,0.043420002,0.046719998,none,,,,1.996,PAR,,26.999,1.533,,,,No info,https://logo.clearbit.com/e-pango.com
468,9,NO0010607781,8.7,13/08/2021 15:42,8.5,Euronext Expand,EAM SOLAR,9,EAM,EAM.OL,CET,NOK,33111.42,3850,Oslo,Utilities,Utilities—Renewable,0.08726,-0.13611001,-0.003,-0.35053003,-0.01545,none,,47.752,0.069,4.614,OSL,1.14341,632.927,55.229,1.411,,,2020-12-31,https://logo.clearbit.com/eamsolar.no
469,2.63,NL0000345627,2.59,13/08/2021 17:35,2.5,Euronext,EASE2PAY NV,2.63,EAS2P,EAS2P.AS,CET,EUR,22255.34,8660,Amsterdam,Technology,Software—Infrastructure,0.0,0.0,-0.077,-4.66082,-0.25492,none,,66.751,,0.038,AMS,2.472314,-29.953,139.256,0.086,,,2020-06-30,https://logo.clearbit.com/investor.ease2pay.eu
470,0.77,HK0000038783,0.77,09/08/2021 17:17,0.77,Euronext Access,EASSON HOLDINGS,0.77,MLEAS,MLEAS.PA,CET,EUR,13.09,17,Paris,Financial Services,Shell Companies,0.0,0.02227,,0.02446,,none,,,,,PAR,0.971254,,,,,,No info,https://logo.clearbit.com/eassontelecom.com
471,104,FR0007200100,104,09/08/2021 11:30,104,Euronext Access,EAUX DE ROYAN,104,MLEDR,MLEDR.PA,CET,EUR,104,1,Paris,Utilities,Utilities—Regulated Water,0.1099,0.054530002,,0.085260004,0.05736,none,,,,1.591,PAR,0.255942,4.335,0.476,33.7,,,No info,https://logo.clearbit.com/cer-eau.fr
472,10.3,FR0010536185,10.3,05/05/2021 11:30,10.3,Euronext Access,EAVS,10.3,MLEAV,MLEAV.PA,CET,EUR,1493.5,145,Paris,Services,Electronics Wholesale,0.13777,0.08877,,0.1305,0.14902,none,,,,2.231,PAR,1.5644,,,,,,No info,https://logo.clearbit.com/eavs.fr
473,10.49,NO0010939804,10.3,13/08/2021 16:25,10.198,Euronext Growth,ECIT AS B-AKSJER,10.49,ECIT,ECIT.OL,CET,NOK,180546.344,17562,Oslo,Industrials,Specialty Business Services,0.09783,0.06816,0.251,0.06982,,none,,35.491,0.486,0.834,OSL,,25.425,2.487,,1.0,,2021-03-31,https://logo.clearbit.com/ecit.com
474,1.25,DE000A0XYM45,1.25,21/12/2016 15:00,1.25,Euronext Access,ECOLUTIONS,1.25,MLECO,MLECO.PA,CET,EUR,125,100,Paris,nan,nan,,,,,,nan,,,,,YHD,,,,,,,No info,
475,16.62,FR0013534617,16.62,13/08/2021 17:27,16.42,Euronext Growth,ECOMIAM,16.6,ALECO,ALECO.PA,CET,EUR,12158.58,733,Paris,Consumer Defensive,Food Distribution,0.021960001,0.02854,0.474,0.00338,,none,,1066.87,0.185,0.755,PAR,,95.153,2.09,0.079,,,2020-03-31,https://logo.clearbit.com/ecomiam.com
476,3.66,BE0974313455,3.52,13/08/2021 17:37,3.52,Euronext,ECONOCOM GROUP,3.62,ECONB,ECONB.BR,CET,EUR,181663.995,50796,Brussels,Technology,Information Technology Services,0.056209996,0.020680001,0.011,0.0559,0.03613,none,,142.202,1.604,0.889,BRU,1.477194,6.615,0.372,1.924,0.302,,2021-06-30,https://logo.clearbit.com/econocom.com
477,24,NO0010936891,24,13/08/2021 09:05,24,Euronext Growth,ECOONLINE HOLDING,24,ECO,ECO.OL,CET,NOK,5832,243,Oslo,Technology,Software—Application,-0.086330004,-0.57936,0.532,-0.58893,,none,,19.611,3.785,1.823,OSL,,-113.066,9.762,10.604,,,2021-03-31,https://logo.clearbit.com/ecoonline.com
478,9.34,FR0011490648,9.22,13/08/2021 17:35,9.2,Euronext Growth,ECOSLOPS,9.34,ALESA,ALESA.PA,CET,EUR,8108,877,Paris,Industrials,Waste Management,-0.5812,-0.82447,-0.383,-0.7608,-0.06665,none,,161.926,1.794,1.78,PAR,1.525704,-18.435,10.714,3.442,,-33.310345,2020-12-31,https://logo.clearbit.com/ecoslops.com
479,49.05,FR0010908533,48.65,13/08/2021 17:35,48.44,Euronext,EDENRED,48.81,EDEN,EDEN.PA,CET,EUR,8386821.21,172207,Paris,Financial Services,Credit Services,0.36792,0.18260999,0.09,0.30458,0.02947,none,,,8.79,0.605,PAR,0.827822,24.461,9.0,-5.002,0.33,,2021-06-30,https://logo.clearbit.com/edenred.com
480,11.07,FR0010242511,11.01,13/08/2021 17:35,10.96,Euronext,EDF,10.97,EDF,EDF.PA,CET,EUR,18562614.31,1685825,Paris,Utilities,Utilities—Diversified,0.20846,0.00942,-0.016,0.07278,0.01031,none,,118.768,8.694,0.929,PAR,0.952459,5.833,1.216,14.725,-0.492,13.05625,2020-12-31,https://logo.clearbit.com/edf.fr
481,15.2,IT0005351504,14.9,13/08/2021 16:55,14.7,Euronext Growth,EDILIZIACROBATICA,14.9,ALEAC,ALEAC.PA,CET,EUR,33316.45,2229,Paris,Industrials,Specialty Business Services,0.07675,0.0383,0.226,0.06855,0.04356,none,,196.159,2.177,2.494,PAR,1.240374,31.619,2.427,1.601,4.48,,2020-12-31,https://logo.clearbit.com/ediliziacrobatica.com
482,0.314,FR0000052755,0.314,12/08/2021 16:30,0.314,Euronext Access,EDITIONS DU SIGNE,0.314,MLEDS,MLEDS.PA,CET,EUR,1.25,4,Paris,Communication Services,Publishing,0.0,0.0,,0.0,,none,,,,,PAR,,,,,,,No info,https://logo.clearbit.com/editionsdusigne.fr
483,4.521,PTEDP0AM0009,4.509,13/08/2021 21:35,4.473,Euronext,EDP,4.502,EDP,EDP.LS,BST,EUR,11178680.98,2480048,Lisbon,Utilities,Utilities—Diversified,0.22051,0.06711,0.117,0.10095,0.01837,none,,119.941,0.388,0.501,LIS,0.497755,13.971,3.081,2.479,-0.028,18.875002,2021-06-30,https://logo.clearbit.com/edp.com
484,20.4,ES0127797019,20.4,13/08/2021 21:35,20.1,Euronext,EDP RENOVAVEIS,20.2,EDPR,EDPR.LS,BST,EUR,7126198.92,350142,Lisbon,Utilities,Utilities—Renewable,0.63487,0.29698,-0.017,0.24593,0.012180001,none,,52.705,0.849,0.503,LIS,0.399551,27.328,17.35,8.423,-0.462,76.55173,2021-06-30,https://logo.clearbit.com/edpr.com
485,8.42,FR0010439265,8.42,18/04/2012 15:00,8.42,Euronext Access,EDUNIVERSAL,8.42,MLEDU,MLEDU.PA,CET,EUR,7157,850,Paris,nan,nan,,,,,,nan,,,,,YHD,,,,,,,No info,
486,0.282,FR0010945733,0.282,06/08/2020 16:30,0.282,Euronext Access,EES,0.282,MLEES,MLEES.PA,CET,EUR,5.64,20,Paris,Utilities,Utilities—Renewable,0.0,0.00214,,-0.012309999,-0.0018600001,none,,,,2.118,PAR,-1.163898,,,,,,No info,https://logo.clearbit.com/energieeuropeservice.fr
487,9.784,NL00150006Z9,9.784,13/08/2021 16:59,9.501,Euronext,EFIC1 ORD SHARES,9.7,EFIC1,EFIC1.AS,CET,EUR,12263.284,1275,Amsterdam,Financial Services,Shell Companies,0.0,0.0,,0.0,,none,,,,,AMS,,,,,,,No info,https://logo.clearbit.com/efic1.com
488,-,NL00150009J7,-,-,-,Euronext,EFIC1 TREASURY SH,-,EFICT,EFICT.AS,CET,EUR,-,-,Amsterdam,nan,nan,,,,,,nan,,,,,nan,,,,,,,No info,
489,0.51,NL00150007A0,0.51,11/08/2021 09:47,0.51,Euronext,EFIC1 WARRANTS,0.51,EFICW,EFICW.AS,CET,EUR,1297.44,2544,Amsterdam,nan,nan,,,,,,nan,,,,,AMS,,,,,,,No info,
