,Unnamed: 0,Unnamed: 0.1,Sector,Industry,Name,Symbol,Volume,Market Cap,longName,ebitdaMargins,profitMargins,revenueGrowth,operatingMargins,returnOnAssets,recommendationKey,recommendationMean,debtToEquity,totalCashPerShare,quickRatio,exchange,beta,enterpriseToEbitda,enterpriseToRevenue,bookValue,earningsQuarterlyGrowth,forwardPE,mostRecentQuarter,logo_url
665,665,665,Technology,Semiconductors,Atomera Incorporated Common Stock,ATOM,307529,523586728.0,Atomera Incorporated,0.0,0.0,5.452000000000001,-37.1125,-0.36073002,buy,2.0,2.91,1.595,31.006,NCM,1.508068,-34.106,1262.011,1.616,,-45.448277,2021-03-31,https://logo.clearbit.com/atomera.com
666,666,666,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Atossa Therapeutics Inc. Common Stock,ATOS,5721041,407123134.0,"Atossa Therapeutics, Inc.",0.0,0.0,,0.0,-0.14632,buy,2.0,0.003,1.125,79.756,NCM,2.217859,-18.125,,1.151,,-24.207333,2021-06-30,https://logo.clearbit.com/atossatherapeutics.com
667,667,667,Consumer Non-Durables,Plastic Products,AptarGroup Inc. Common Stock,ATR,174251,8775911342.0,"AptarGroup, Inc.",0.19879,0.08274,0.16,0.12505001,0.061079998,buy,2.5,58.636,4.419,1.212,NYQ,0.656266,15.865,3.154,28.97,0.321,28.682713,2021-06-30,https://logo.clearbit.com/aptar.com
668,668,668,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Atara Biotherapeutics Inc. Common Stock,ATRA,289895,1055231510.0,"Atara Biotherapeutics, Inc.",0.0,0.0,,-88.00676,-0.47125,buy,1.8,3.15,5.176,5.291,NMS,2.436343,-2.092,179.03599999999997,4.746,,-4.4794717,2021-03-31,https://logo.clearbit.com/atarabio.com
669,669,669,Health Care,Medical/Dental Instruments,AtriCure Inc. Common Stock,ATRC,171300,3360430565.0,"AtriCure, Inc.",-0.13931,-0.22892,0.114,-0.18270999,-0.03955,buy,1.6,18.805,4.979,4.395,NGM,1.075,-112.095,15.616,8.576,,-82.61538,2021-03-31,https://logo.clearbit.com/atricure.com
670,670,670,Health Care,Medical/Dental Instruments,Atrion Corporation Common Stock,ATRI,1463,1129354509.0,Atrion Corporation,0.31339002,0.21613,-0.102,0.2297,0.07765999400000001,none,,,26.162,6.315,NMS,0.09076,23.618,7.402,133.89,-0.132,,2021-03-31,https://logo.clearbit.com/atrioncorp.com
671,671,671,Capital Goods,Military/Government/Technical,Astronics Corporation Common Stock,ATRO,168307,420292657.0,Astronics Corporation,0.04144,-0.23037,-0.421,-0.02194,-0.00983,hold,2.7,73.029,1.308,1.4240000000000002,NMS,2.187534,34.094,1.413,8.752,,20.432835,2020-12-31,https://logo.clearbit.com/astronics.com
672,672,672,Health Care,Medical/Dental Instruments,Antares Pharma Inc. Common Stock,ATRS,592264,664573465.0,"Antares Pharma, Inc.",0.16025999,0.37730998,0.389,0.14093,0.08477,buy,1.6,24.039,0.265,1.46,NCM,1.501882,24.292,3.893,0.7140000000000001,1.032,15.057693,2021-06-30,https://logo.clearbit.com/antarespharma.com
673,673,673,Transportation,Air Freight/Delivery Services,Air Transport Services Group Inc,ATSG,209265,2010154258.0,"Air Transport Services Group, Inc.",0.30973,-0.04052,-0.034,0.12254,0.03997,buy,1.7,173.59799999999996,0.701,0.745,NMS,0.594565,6.6720000000000015,2.066,14.965,-0.6920000000000001,14.826817000000002,2021-03-31,https://logo.clearbit.com/atsginc.com
674,674,674,Finance,Finance: Consumer Services,Archimedes Tech SPAC Partners Co. Subunit,ATSPT,75000,0.0,Archimedes Tech SPAC Partners Co.,0.0,0.0,,0.0,,none,,,,,NCM,,,,,,,No info,
675,675,675,Finance,Finance: Consumer Services,Archimedes Tech SPAC Partners Co. Unit,ATSPU,1000,0.0,Archimedes Tech SPAC Partners Co.,0.0,0.0,,0.0,,none,,,,,NCM,,,,,,,No info,
676,676,676,Public Utilities,Telecommunications Equipment,Atento S.A. Ordinary Shares,ATTO,10881,387900000.0,Atento S.A.,0.058330003,-0.04237,-0.013,0.02819,0.022130001,hold,2.7,1154.748,12.502,1.335,NYQ,1.778804,10.524,0.614,4.314,,9.959184,2021-03-31,https://logo.clearbit.com/atento.com
677,677,677,Public Utilities,Telecommunications Equipment,Altice USA Inc. Class A Common Stock,ATUS,2741079,12909305621.0,"Altice USA, Inc.",0.43653,0.071669996,0.012,0.23794001,0.04434,buy,2.2,,0.498,0.191,NYQ,1.12,9.83,4.291,-2.888,,11.077551,2021-03-31,https://logo.clearbit.com/alticeusa.com
678,678,678,Finance,Finance: Consumer Services,Tribe Capital Growth Corp I Class A common stock,ATVC,6,334204950.0,Tribe Capital Growth Corp I,0.0,0.0,,0.0,,none,,51.129,,,NCM,,,,,,,2020-12-04,
679,679,679,Finance,Finance: Consumer Services,Tribe Capital Growth Corp I Units,ATVCU,50,0.0,Tribe Capital Growth Corp I,0.0,0.0,,0.0,,none,,51.129,,,NCM,,,,,,,2020-12-04,
680,680,680,Finance,Finance: Consumer Services,Tribe Capital Growth Corp I Warrant,ATVCW,1900,0.0,Tribe Capital Growth Corp I,,,,,,,,,,,NCM,,,,,,,No info,
681,681,681,Technology,Computer Software: Prepackaged Software,Activision Blizzard Inc. Common Stock,ATVI,5367703,65210853113.0,"Activision Blizzard, Inc.",0.37162998,0.26957,0.272,0.35204,0.08767,buy,1.8,23.521,12.237,3.232,NMS,0.601741,20.663,7.6789999999999985,19.734,0.226,17.843891,2021-03-31,https://logo.clearbit.com/activisionblizzard.com
682,682,682,Health Care,Major Pharmaceuticals,Avenue Therapeutics Inc. Common Stock,ATXI,46046,28639196.0,"Avenue Therapeutics, Inc.",0.0,0.0,,0.0,-0.7147,hold,3.0,,0.109,3.891,NCM,0.602288,,,0.08800000000000001,,-6.5000005,2021-03-31,https://logo.clearbit.com/avenuetx.com
683,683,683,Consumer Services,Other Consumer Services,AcuityAds Holdings Inc. Common Shares,ATY,278364,514986553.0,AcuityAds Holdings Inc.,0.10932,0.044850003,0.134,0.090909995,0.09132,none,,41.629,0.494,2.088,NCM,2.2696110000000003,46.43600000000001,5.0760000000000005,,5.66,,2021-03-31,https://logo.clearbit.com/acuityads.com
684,684,684,Basic Industries,Precious Metals,AngloGold Ashanti Limited Common Stock,AU,2853014,6635790906.0,AngloGold Ashanti Limited,0.44146,0.21927999,0.08199999999999999,0.33236998,,hold,2.8,56.109,2.423,,NYQ,0.212558,4.807,2.122,8.863,0.201,6.825911,2021-03-31,https://logo.clearbit.com/anglogoldashanti.com
685,685,685,Finance,Major Banks,Atlantic Union Bankshares Corporation Common Stock,AUB,233796,2897009956.0,Atlantic Union Bankshares Corporation,0.0,0.35679,0.419,0.51085997,0.01319,buy,2.3,,12.591,,NMS,1.357181,,3.237,31.413,1.78,12.393835,2021-06-30,https://logo.clearbit.com/atlanticunionbank.com
686,686,686,Finance,Major Banks,Atlantic Union Bankshares Corporation Depositary Shares each representing a 1/400th ownership interest in a share of 6.875% Perpetual Non-Cumulative Preferred Stock Series A,AUBAP,5844,0.0,Atlantic Union Bankshares Corporation,0.0,0.35679,0.419,0.51085997,0.01319,none,,,12.591,,NMS,1.357181,,2.316,,1.78,,2021-06-30,https://logo.clearbit.com/atlanticunionbank.com
687,687,687,Finance,Major Banks,Auburn National Bancorporation Inc. Common Stock,AUBN,3216,121171384.0,"Auburn National Bancorporation, Inc.",0.0,0.28189000000000003,0.101,0.35114,0.00837,none,,,39.874,,NGM,0.564819,,-0.544,29.06,0.376,,2021-06-30,https://logo.clearbit.com/auburnbank.com
688,688,688,Consumer Services,Broadcasting,Audacy Common Stock,AUD,1149505,461076063.0,"Audacy, Inc.",0.10114,-0.17604,0.731,0.06272,0.01279,hold,2.6,316.118,0.327,1.401,NYQ,1.815492,20.918000000000006,2.116,,,,2021-06-30,https://logo.clearbit.com/audacyinc.com
689,689,689,Public Utilities,Telecommunications Equipment,AudioCodes Ltd. Common Stock,AUDC,135050,1069967534.0,AudioCodes Ltd.,0.19564,0.14310001,0.132,0.18581,0.07825,buy,1.8,12.038,3.588,1.716,NMS,0.604626,20.32,3.975,6.239,0.241,19.547619,2021-06-30,https://logo.clearbit.com/audiocodes.com
690,690,690,No info,,TrueShares Structured Outcome (August) ETF,AUGZ,5837,,TrueShares Structured Outcome (August) ETF,,,,,,,,,,,BTS,,,,,,,No info,
691,691,691,Basic Industries,Metal Mining Services,Golden Minerals Company Common Stock,AUMN,422127,78797432.0,Golden Minerals Company,-0.48009998,-0.68303,3.788,-0.57222,-0.25444,buy,2.0,7.066,0.043,2.65,ASE,1.264658,-13.345999999999998,6.408,0.073,,26.804998,2021-06-30,https://logo.clearbit.com/goldenminerals.com
692,692,692,Consumer Durables,Major Pharmaceuticals,Aurinia Pharmaceuticals Inc Ordinary Shares,AUPH,1495607,1947766213.0,Aurinia Pharmaceuticals Inc.,-2.47073,-2.4925900000000003,29.467,-2.50525,-0.21818,buy,1.7,2.399,2.717,16.521,NGM,0.362557,-11.494000000000002,28.399,2.89,,-32.954544,2021-03-31,https://logo.clearbit.com/auriniapharma.com
693,693,693,Finance,Business Services,Aurora Acquisition Corp. Class A Ordinary Shares,AURC,15599,345418568.0,Aurora Acquisition Corp.,0.0,0.0,,0.0,,none,,0.8170000000000001,0.057,,NCM,,,,,,,2021-03-31,
694,694,694,Finance,Business Services,Aurora Acquisition Corp. Unit,AURCU,97,0.0,Aurora Acquisition Corp.,0.0,0.0,,0.0,,none,,,,,NCM,,,,,,,No info,
695,695,695,Finance,Business Services,Aurora Acquisition Corp. Warrant,AURCW,338,0.0,Aurora Acquisition Corp.,,,,,,,,,,,NCM,,,,,,,No info,
696,696,696,No info,,Austerlitz Acquisition Corporation I Class A Ordinary Shares,AUS,313444,974871443.0,Austerlitz Acquisition Corporation I,0.0,0.0,,0.0,,none,,,0.01,,NYQ,,,,,,,2021-03-31,
697,697,697,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Autolus Therapeutics plc American Depositary Share,AUTL,649925,429908660.0,Autolus Therapeutics plc,0.0,0.0,,-65.70746,-0.22275,buy,2.0,,5.524,10.317,NMS,1.6859240000000002,-0.8320000000000001,53.15600000000001,5.91,,-3.8697917,2018-12-31,https://logo.clearbit.com/autolus.com
698,698,698,Miscellaneous,Business Services,AutoWeb Inc. Common Stock,AUTO,129634,34472630.0,"AutoWeb, Inc.",-0.0038299998,-0.035,-0.269,-0.047459997,-0.04922,buy,1.7,76.902,0.833,1.169,NCM,2.253804,-156.425,0.599,1.285,,-53.600002,2021-03-31,https://logo.clearbit.com/autoweb.com
699,699,699,Technology,Computer Software: Prepackaged Software,Auddia Inc. Common Stock,AUUD,749348,35854208.0,Auddia Inc.,0.0,0.0,,-52.3998,-0.24836999,none,,34.771,0.546,1.955,NCM,,-11.734000000000002,660.3710000000002,,,,2021-03-31,https://logo.clearbit.com/auddia.com
700,700,700,Technology,Computer Software: Prepackaged Software,Auddia Inc. Warrants,AUUDW,17306,0.0,Auddia Inc.,0.0,0.0,-0.991,-19.84604,-1.29156,none,,,0.006,0.004,NCM,,,,,,,2020-09-30,https://logo.clearbit.com/auddia.com
701,701,701,Consumer Durables,Home Furnishings,Applied UV Inc. Common Stock,AUVI,55120,69767804.0,"Applied UV, Inc.",-0.58412,-0.65768,0.5710000000000001,-0.6017,-0.19683,strong_buy,1.0,6.072,0.948,2.474,NCM,,-24.231,14.154000000000002,,,,2021-03-31,https://logo.clearbit.com/applieduvinc.com
702,702,702,Consumer Durables,Home Furnishings,Applied UV Inc. 10.5% Series A Cumulative Perpetual Preferred Stock $0.0001 par value per share,AUVIP,7558,0.0,Applied UV Inc. 10.5% Series A Cumulative Perpetual Preferred Stock $0.0001 par value per share,,,,,,,,,,,NCM,,,,,,,No info,
703,703,703,Basic Industries,Precious Metals,Yamana Gold Inc. Ordinary Shares (Canada),AUY,14860240,4223316580.0,Yamana Gold Inc.,0.53476,0.09616,0.442,0.47137,0.06583,hold,2.6,19.774,0.7609999999999999,1.269,NYQ,1.42745,5.694,3.045,4.585,,23.210526,2021-06-30,https://logo.clearbit.com/yamana.com
704,704,704,Public Utilities,Power Generation,Avista Corporation Common Stock,AVA,220872,2908630233.0,Avista Corporation,0.35263002,0.11088,0.058,0.18294,0.024449999,hold,3.2,116.076,0.337,0.448,NYQ,0.607065,11.348,4.002,29.844,0.405,18.484716,2021-03-31,https://logo.clearbit.com/investor.avistacorp.com
705,705,705,Health Care,Hospital/Nursing Management,Aveanna Healthcare Holdings Inc. Common Stock,AVAH,395203,1747718106.0,Aveanna Healthcare Holdings Inc.,0.077,-0.05709,0.174,0.066539995,,buy,1.7,457.161,0.364,1.307,NMS,,29.23,2.251,,-0.846,,2021-04-03,https://logo.clearbit.com/aveanna.com
706,706,706,Finance,Commercial Banks,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),AVAL,460226,5993593611.0,Grupo Aval Acciones y Valores S.A.,0.0,0.14122,0.04,0.0,0.01441,hold,3.0,,,,NYQ,0.678604,,,5.16,0.131,7.641025999999999,2021-03-31,https://logo.clearbit.com/grupoaval.com
707,707,707,Finance,Business Services,Avanti Acquisition Corp. Class A Ordinary Shares,AVAN,78897,729750000.0,Avanti Acquisition Corp.,0.0,0.0,,0.0,,none,,1526.188,0.0,219.515,NYQ,,,,,,,2020-09-30,https://logo.clearbit.com/avanti-acquisition.com
708,708,708,Capital Goods,Aerospace,AeroVironment Inc. Common Stock,AVAV,80279,2499338300.0,"AeroVironment, Inc.",0.1761,0.05908,0.006,0.12732000000000002,0.04153,buy,2.0,36.394,7.347,3.275,NMS,0.338411,36.499,6.4270000000000005,21.974,-0.373,39.340908,2021-04-30,https://logo.clearbit.com/avinc.com
709,709,709,Consumer Services,Real Estate Investment Trusts,AvalonBay Communities Inc. Common Stock,AVB,401324,31350944356.0,"AvalonBay Communities, Inc.",0.5915100000000001,0.48227,-0.027000000000000003,0.2698,0.01951,hold,2.7,69.042,2.127,,NYQ,,29.626,17.524,76.547,1.622,70.99221,2021-06-30,https://logo.clearbit.com/avalonbay.com
710,710,710,Health Care,Hospital/Nursing Management,Avalon GloboCare Corp. Common Stock,AVCO,929420,97933654.0,Avalon GloboCare Corp.,0.0,0.0,-0.058,-8.855839999999997,-0.67006,none,,84.729,0.02,0.545,NCM,0.381701,-7.832999999999998,67.475,0.055,,,2021-03-31,https://logo.clearbit.com/avalon-globocare.com
711,711,711,Technology,EDP Services,American Virtual Cloud Technologies Inc. Common Stock ,AVCT,3687,87575802.0,"American Virtual Cloud Technologies, Inc.",-0.21268,-0.55623,0.48,-0.29007998,,none,,,0.763,0.662,NCM,0.648671,-10.022,2.131,,,,2021-03-31,https://logo.clearbit.com/avctechnologies.com
712,712,712,Technology,EDP Services,American Virtual Cloud Technologies Inc. Warrant expiring 4/7/2025,AVCTW,28714,0.0,American Virtual Cloud Technologies Inc. Warrant expiring 4/7/2025,,,,,,,,,,,NCM,,,,,,,No info,
713,713,713,Basic Industries,Agricultural Chemicals,American Vanguard Corporation Common Stock ($0.10 Par Value),AVD,188509,465952053.0,American Vanguard Corporation,0.0936,0.03715,0.21,0.04198,0.01815,buy,2.0,42.989,0.447,1.093,NYQ,0.85326,14.858,1.391,11.685,4.9060000000000015,16.774195000000002,2021-03-31,https://logo.clearbit.com/american-vanguard.com
714,714,714,Health Care,Major Pharmaceuticals,Avadel Pharmaceuticals plc American Depositary Shares,AVDL,220720,472871641.0,Avadel Pharmaceuticals plc,0.0,0.0,,0.0,-0.13030999999999998,strong_buy,1.4,121.01,3.486,13.879,NGM,1.30285,-6.627000000000002,,2.334,,-50.625004,2021-06-30,https://logo.clearbit.com/avadel.com
715,715,715,Health Care,Industrial Specialties,AVDR US LargeCap Leading ETF,AVDR,1080,537788477.0,AVDR US LargeCap Leading ETF,,,,,,,,,,,BTS,,,,,,,No info,
716,716,716,Health Care,Major Pharmaceuticals,AVEO Pharmaceuticals Inc. Common Stock,AVEO,503376,213462509.0,"AVEO Pharmaceuticals, Inc.",0.0,0.0,9.088,-3.93461,-0.36411998,strong_buy,1.2,55.143,2.994,6.209,NCM,1.173749,-2.199,8.646,2.108,,-40.0,2021-06-30,https://logo.clearbit.com/aveooncology.com
717,717,717,Technology,Semiconductors,Broadcom Inc. Common Stock,AVGO,858180,199452273850.0,Broadcom Inc.,0.51109004,0.19108999,0.151,0.25702998,0.052270003,buy,1.9,168.731,23.2,1.856,NMS,0.949456,17.029,8.703,58.38800000000001,1.652,16.466467,2021-05-02,https://logo.clearbit.com/broadcom.com
718,718,718,Technology,Semiconductors,Broadcom Inc. 8.00% Mandatory Convertible Preferred Stock Series A,AVGOP,1844,0.0,Broadcom Inc.,0.51109004,0.19108999,0.151,0.25702998,0.052270003,none,,168.731,23.2,1.856,NMS,0.949456,48.937,25.011,,1.652,,2021-05-02,https://logo.clearbit.com/broadcom.com
719,719,719,Health Care,Medical/Dental Instruments,Avinger Inc. Common Stock,AVGR,824952,87771058.0,"Avinger, Inc.",-1.59481,-1.6026,0.911,-1.67282,-0.32407,buy,2.0,87.166,0.28,4.39,NCM,1.7138240000000002,-3.901,6.221,0.215,,-5.111765,2021-06-30,https://logo.clearbit.com/avinger.com
720,720,720,Technology,Computer Software: Prepackaged Software,Avid Technology Inc. Common Stock,AVID,198494,1262326249.0,"Avid Technology, Inc.",0.116560005,0.03069,-0.103,0.101569995,0.075100005,buy,2.4,,1.796,0.943,NMS,1.43519,27.965,3.26,-2.992,-0.539,17.489655,2020-12-31,https://logo.clearbit.com/avid.com
721,721,721,Health Care,Major Pharmaceuticals,Atea Pharmaceuticals Inc. Common Stock,AVIR,1837164,2289331047.0,"Atea Pharmaceuticals, Inc.",0.2474,-0.22509001,,0.24701001,0.01695,buy,1.7,,10.275,2.71,NMS,,87.365,21.614,,,-29.176668,2020-12-31,https://logo.clearbit.com/ateapharma.com
722,722,722,Finance,Trusts Except Educational Religious and Charitable,Advent Convertible and Income Fund,AVK,57334,668152811.0,Advent Convertible and Income Fund,0.0,9.38731,-0.16699999999999998,0.67985,0.01349,none,,45.934,0.006,0.051,NYQ,1.257889,,32.631,16.055999999999994,,-640.3333,2021-04-30,https://logo.clearbit.com/guggenheimfunds.com
723,723,723,Technology,EDP Services,Avalara Inc. Common Stock,AVLR,397454,14256849892.0,"Avalara, Inc.",-0.077589996,-0.09825,0.345,-0.11801,-0.030639999,buy,1.8,6.292000000000002,7.915,1.984,NYQ,0.685906,-277.785,21.554,12.699000000000002,,3140.5,2020-12-31,https://logo.clearbit.com/avalara.com
724,724,724,Health Care,Industrial Specialties,Avanos Medical Inc. Common Stock,AVNS,184034,1647734362.0,"Avanos Medical, Inc.",0.07635,-0.053839996,0.002,0.01762,0.0046200003000000005,hold,2.8,19.176,2.092,1.71,NYQ,0.928804,36.765,2.807,26.189,,20.105589,2021-03-31,https://logo.clearbit.com/avanos.com
725,725,725,Basic Industries,Major Chemicals,Avient Corporation Common Stock,AVNT,233966,4555738164.0,Avient Corporation,0.12542,0.05189,1.028,0.092889994,0.053439997,buy,1.6,109.942,6.749,1.414,NYQ,1.658418,10.949000000000002,1.3730000000000002,,2.018,,2021-06-30,https://logo.clearbit.com/avient.com
726,726,726,Capital Goods,Telecommunications Equipment,Aviat Networks Inc. Common Stock,AVNW,122957,428928333.0,"Aviat Networks, Inc.",0.10836001,0.4079,0.08199999999999999,0.08889,0.062810004,buy,2.0,1.724,4.103,1.401,NMS,2.119021,11.661,1.264,16.098,128.591,16.013273,2021-04-02,https://logo.clearbit.com/aviatnetworks.com
727,727,727,Consumer Non-Durables,Farming/Seeds/Milling,Mission Produce Inc. Common Stock,AVO,33793,1378998750.0,"Mission Produce, Inc.",0.10774,0.06086,0.059,0.085889995,0.06204,buy,2.0,36.948,0.768,1.653,NMS,,17.264,1.86,,,,2021-04-30,https://logo.clearbit.com/worldsfinestavocados.com
728,728,728,Finance,Finance: Consumer Services,AvePoint Inc. Class A Common Stock,AVPT,640125,1745040385.0,AvePoint Inc. Class A Common Stock,0.0,0.0,,0.0,,buy,1.8,,,,NMS,,,,,,,No info,https://logo.clearbit.com/avepoint.com
729,729,729,Technology,Computer Software: Prepackaged Software,AvePoint Inc. Warrant,AVPTW,33212,0.0,AvePoint Inc. Warrant,,,,,,,,,,,NMS,,,,,,,No info,
730,730,730,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AVROBIO Inc. Common Stock,AVRO,306147,260429704.0,"AVROBIO, Inc.",0.0,0.0,,0.0,-0.29217,buy,2.0,,5.579,18.465,NMS,1.359593,-1.306,,5.577000000000001,,-2.1804123,2021-03-31,https://logo.clearbit.com/avrobio.com
731,731,731,Technology,Electronic Components,Avnet Inc. Common Stock,AVT,722490,4063663681.0,"Avnet, Inc.",0.0212,0.00866,0.141,0.013789999,0.01935,hold,2.7,38.174,3.244,1.278,NMS,1.54076,13.011,0.276,39.581,,10.80663,2021-04-03,https://logo.clearbit.com/avnet.com
732,732,732,No info,,Aerovate Therapeutics Inc. Common Stock,AVTE,36237,288850900.0,Aerovate Therapeutics Inc. Common Stock,,,,,,strong_buy,1.5,,,,NGM,,,,,,,No info,
733,733,733,Capital Goods,Biotechnology: Laboratory Analytical Instruments,Avantor Inc. Common Stock,AVTR,1117517,22560383132.0,"Avantor, Inc.",0.18620001,0.04704,0.257,0.13277,0.05533,buy,1.6,189.256,0.382,1.083,NYQ,1.7938060000000002,21.849,4.0680000000000005,3.0980000000000003,1.621,28.676058,2021-06-30,https://logo.clearbit.com/avantorsciences.com
734,734,734,No info,,Avantor Inc. Series A Mandatory Convertible Preferred Stock,AVTR^A,6239,,Avantor Inc. Series A Mandatory Convertible Preferred Stock,,,,,,,,,,,,,,,,,,No info,
735,735,735,Health Care,Biotechnology: Commercial Physical & Biological Resarch,Anavex Life Sciences Corp. Common Stock,AVXL,1811808,1415808517.0,Anavex Life Sciences Corp.,0.0,0.0,,0.0,-0.31655002,buy,1.8,,1.083,10.715,NCM,0.704142,,,1.083,,-33.754387,2021-03-31,https://logo.clearbit.com/anavex.com
736,736,736,Basic Industries,Containers/Packaging,Avery Dennison Corporation Common Stock,AVY,292590,17863771266.0,Avery Dennison Corporation,0.15852,0.093389995,0.375,0.13463001,0.10974,buy,2.2,122.036,4.559,0.8240000000000001,NYQ,1.004841,15.912,2.522,19.046,1.306,24.696936,2021-07-03,https://logo.clearbit.com/averydennison.com
737,737,737,Technology,Retail: Computer Software & Peripheral Equipment,Avaya Holdings Corp. Common Stock,AVYA,1202014,1714562917.0,Avaya Holdings Corp.,0.16856001,-0.21716999,0.039,0.09342,0.0253,buy,2.2,820.308,8.939,1.198,NYQ,1.725307,10.213,1.721,3.103,,5.8323865,2020-12-31,https://logo.clearbit.com/avaya.com
738,738,738,Finance,Trusts Except Educational Religious and Charitable,Alliancebernstein Global High Income Fund,AWF,62226,1076146369.0,AllianceBernstein Global High Income Fund,0.0,3.9394,-0.096,0.82702005,0.03001,none,,0.063,0.065,0.35700000000000004,NYQ,0.694021,,17.236,12.783,,,2021-03-31,https://logo.clearbit.com/abglobal.com
739,739,739,Health Care,Medical/Dental Instruments,Aspira Women's Health Inc. Common Stock,AWH,685238,447785796.0,Aspira Women's Health Inc.,0.0,0.0,1.412,-4.06572,-0.44096002,strong_buy,1.5,7.803,0.473,9.336,NCM,3.083378,-15.181,60.901,,,,2021-06-30,https://logo.clearbit.com/aspirawh.com
740,740,740,Consumer Non-Durables,Plastic Products,Armstrong World Industries Inc Common Stock,AWI,135974,5242052051.0,"Armstrong World Industries, Inc.",0.26146,0.17285,0.013,0.16455999,0.0585,hold,2.9,163.429,2.539,1.375,NYQ,1.189673,23.786,6.2189999999999985,9.902,,21.568966,2021-03-31,https://logo.clearbit.com/armstrongceilings.com
741,741,741,Public Utilities,Water Supply,American Water Works Company Inc. Common Stock,AWK,649857,32473214222.0,"American Water Works Company, Inc.",0.49883997,0.19259001,0.073,0.3389,0.03365,buy,2.5,165.785,0.479,0.382,NYQ,0.22377600000000006,22.722,11.335,36.276,0.17600000000000002,39.91323,2021-06-30,https://logo.clearbit.com/amwater.com
742,742,742,Finance,Trusts Except Educational Religious and Charitable,Aberdeen Global Premier Properties Fund Common Shares of Beneficial Interest,AWP,169104,571379192.0,Aberdeen Global Premier Properties Fund,0.0,9.116611,-0.086,0.64878,0.011820001,none,,20.565,0.038,0.118,NYQ,1.118607,,40.809,5.228,,,2021-04-30,https://logo.clearbit.com/alpinecef.com
743,743,743,Public Utilities,Water Supply,American States Water Company Common Stock,AWR,134194,3305024187.0,American States Water Company,0.35556,0.18462999,0.073,0.27905,0.05012,buy,2.4,89.446,0.188,0.7809999999999999,NYQ,0.021195,19.894,7.073,17.593,0.369,35.98832700000001,2021-03-31,https://logo.clearbit.com/americanstateswatercompany.gcs-web.com
744,744,744,Technology,EDP Services,Aware Inc. Common Stock,AWRE,27070,85041458.0,"Aware, Inc.",-0.6732199999999999,-0.65536004,0.256,-0.72285,-0.10395,none,,,1.6769999999999998,7.923999999999999,NGM,0.202173,-5.683,3.826,2.064,,,2021-03-31,https://logo.clearbit.com/aware.com
745,745,745,Public Utilities,Environmental Services,Avalon Holdings Corporation Common Stock,AWX,79032,20121064.0,Avalon Holdings Corporation,0.060760003,0.04334,0.254,0.01249,0.00621,none,,60.976000000000006,1.141,0.778,ASE,1.258203,9.354,0.568,9.696,,,2021-06-30,https://logo.clearbit.com/avalonholdings.com
746,746,746,Finance,Savings Institutions,Axos Financial Inc. Common Stock,AX,120528,2964710841.0,"Axos Financial, Inc.",0.0,0.34314,0.034,0.51305,0.015319999,buy,1.6,,19.53,,NYQ,1.693688,,4.671,22.716,-0.043,13.1,2021-03-31,https://logo.clearbit.com/axosfinancial.com
747,747,747,Capital Goods,Biotechnology: Laboratory Analytical Instruments,Accelerate Diagnostics Inc. Common Stock,AXDX,227441,364432805.0,"Accelerate Diagnostics, Inc.",0.0,0.0,0.317,-5.61567,-0.40385,buy,2.4,,1.119,7.615,NCM,1.901559,-7.267,39.19300000000001,-1.114,,-5.0583334,2021-06-30,https://logo.clearbit.com/acceleratediagnostics.com
748,748,748,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Axogen Inc. Common Stock,AXGN,184149,657799172.0,"AxoGen, Inc.",-0.15049,-0.18688999,0.279,-0.16843,-0.073249996,buy,1.9,47.477,2.217,4.972,NCM,0.6831520000000001,-48.209,7.255,2.931,,-88.875,2021-03-31,https://logo.clearbit.com/axogeninc.com
749,749,749,Capital Goods,Auto Parts:O.E.M.,American Axle & Manufacturing Holdings Inc. Common Stock,AXL,784208,1067480182.0,"American Axle & Manufacturing Holdings, Inc.",0.15785,-0.00447,0.061,0.04637,0.022909999,hold,2.7,893.347,5.309,1.436,NYQ,2.5695650000000003,5.582999999999998,0.8809999999999999,3.27,,4.620321,2021-03-31,https://logo.clearbit.com/aam.com
750,750,750,Health Care,Major Pharmaceuticals,Axcella Health Inc. Common Stock,AXLA,23424,120274678.0,Axcella Health Inc.,0.0,0.0,,0.0,-0.39137,buy,2.0,41.059,2.464,8.874,NGM,1.384373,-1.732,,1.636,,-1.4678112,2021-03-31,https://logo.clearbit.com/axcellahealth.com
751,751,751,Health Care,Medical/Dental Instruments,Axonics Inc. Common Stock,AXNX,221996,3060563592.0,"Axonics, Inc.",-0.44948003,-0.52505,0.307,-0.47033,-0.10617,buy,1.6,25.868,3.125,6.341,NMS,0.06264700000000001,-49.651,22.317,7.893,,-82.85106,2021-03-31,https://logo.clearbit.com/axonics.com
