,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,Setor,Subsetor,Nome,Ticker,Data_ultimo_balanco
249,KRSA3,8.1,0.0,14.59,0.0,"0,00%",2.107,12.87,0.0,-4.19,0.0,0.0,"0,00%","0,00%",1.89,"0,00%","0,00%",654715.0,416690000.0,3.42,"0,00%",Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,KORA SAUDE,KRSA3.SA,30/06/2021
250,ECIS4,145.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,1.53,1.53,"34,90%","14,18%",1.38,"12,48%","7,33%",0.0,129346000.0,0.38,"4,66%",Not found,Not found,ECISA,ECIS4.SA,31/12/2004
251,SCLO3,14.1,0.0,-84.11,0.0,"0,00%",719.35,-77.25,0.0,-76.57,0.0,0.0,"0,00%","0,00%",0.02,"0,00%","0,00%",0.0,-160936.0,-0.17,"6,01%","Tecidos, Vestuário e Calçados",Fios e Tecidos,SCHLOSSER TECIDOS,SCLO3.SA,30/06/2021
252,MMAQ3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-4.61,-3.48,"1,45%","4,80%",2.02,"5,93%","17,96%",0.0,187398000.0,0.03,"33,27%",Comércio,Material de Transporte,MINASMÁQUINAS S/A,MMAQ3.SA,30/06/2021
253,CZRS3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","3,34%",0.0,1145670000.0,0.0,"14,44%",Intermediários Financeiros,Bancos,Cruzeiro Sul,CZRS3.SA,31/03/2012
254,BMEF3,11.0,0.0,4.16,0.0,"0,00%",3.482,10.24,0.0,11.3,0.0,0.0,"0,00%","0,00%",3.7,"0,00%","0,00%",0.0,2674780000.0,0.0,"0,00%",Serviços Financeiros Diversos,Serviços Financeiros Diversos,BMF,BMEF3.SA,31/03/2008
255,PRBC3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","9,10%",0.0,1325120000.0,0.0,"10,34%",Intermediários Financeiros,Bancos,Parana,PRBC3.SA,30/06/2021
256,ILLS4,100.01,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.73,0.73,"8,43%","-10,22%",0.5,"8,14%","36,09%",0.0,-18567000.0,-0.22,"9,33%",Not found,Not found,LINHAS CIRCULO,ILLS4.SA,31/03/2004
257,RRRP3,34.93,0.0,2.54,0.0,"0,00%",1.529,3.54,0.0,11.49,0.0,0.0,"0,00%","0,00%",6.94,"0,00%","0,00%",63476900.0,1818440000.0,0.33,"0,00%","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",3R PETROLEUM,RRRP3.SA,30/06/2021
258,ALBA3,2.15,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-1.27,-1.27,"9,50%","9,62%",1.83,"20,40%","19,77%",0.0,354860000.0,0.03,"14,69%",Not found,Not found,DANA-ALBARUS S/A INDÚSTRIA E COMÉRCIO,ALBA3.SA,31/03/2005
259,VSPT4,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,4959940000.0,0.0,"0,00%",Transporte,Transporte Ferroviário,FERROVIA CENTRO-ATLÂNTICA S.A.,VSPT4.SA,31/03/2021
260,SGEN4,0.6,0.0,0.09,71.251,"0,00%",0.059,-1.0,-3.81,-0.24,-4.5,-4.5,"-1.871,17%","0,00%",0.65,"-1,59%","0,00%",0.0,156981000.0,0.02,"-59,85%",Construção Civil,Incorporações,SERGEN,SGEN4.SA,30/09/2011
261,MLPA3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-2.08,-2.08,"6,66%","8,92%",0.0,"0,00%","45,13%",0.0,44578000.0,0.0,"-7,51%",Madeira e Papel,Papel e Celulose,MELHORAMENTOS PAPEIS,MLPA3.SA,30/09/2009
262,BBTG13,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","87,50%",0.0,8000.0,0.0,"0,00%",Not found,Not found,BTG PACTUAL A,BBTG13.SA,30/06/2021
263,PINE3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-8,09%",0.0,775077000.0,0.0,"34,09%",Intermediários Financeiros,Bancos,Pine,PINE3.SA,30/06/2021
264,BSGR3,1091.28,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,0.0,0.0,"0,00%",Not found,Not found,AGF BRASIL SEGUROS,BSGR3.SA,31/03/2005
265,ABCB3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","9,87%",0.0,4459170000.0,0.0,"15,20%",Intermediários Financeiros,Bancos,ABC Brasil,ABCB3.SA,30/06/2021
266,CBAV3,11.0,0.0,1.92,0.0,"0,00%",0.624,4.72,0.0,-1.98,0.0,0.0,"0,00%","0,00%",1.62,"0,00%","0,00%",14262600.0,3404820000.0,0.84,"0,00%",Mineração,Minerais Metálicos,CBA,CBAV3.SA,30/06/2021
267,VVAX4,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-4.44,-4.44,"-7,36%","-37,76%",2.19,"-6,52%","-92,03%",0.0,144676000.0,1.55,"0,00%",Not found,Not found,VIVAX SA,VVAX4.SA,30/06/2007
268,SEBB3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-0.23,-0.23,"9,24%","7,40%",2.44,"24,15%","23,01%",0.0,145783000.0,0.01,"50,04%",Diversos,Serviços Educacionais,SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A,SEBB3.SA,30/09/2010
269,ONCO3,15.68,0.0,-147.32,0.0,"0,00%",2.494,53.67,0.0,-4.29,0.0,0.0,"0,00%","0,00%",1.15,"0,00%","0,00%",15150400.0,-52724000.0,-29.85,"0,00%",Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,ONCOCLINICAS,ONCO3.SA,30/06/2021
270,DOTZ3,9.49,0.0,-33.44,0.0,"0,00%",3.114,26.66,0.0,-13.48,0.0,0.0,"0,00%","0,00%",1.16,"0,00%","0,00%",1970410.0,-37478000.0,-0.87,"0,00%",Diversos,Programas de Fidelização,DOTZ SA,DOTZ3.SA,30/06/2021
271,ARPS4,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-14.08,-14.08,"-4,92%","-11,59%",0.91,"-6,64%","20,34%",0.0,-12690000.0,-1.24,"-17,53%",Not found,Not found,DOUAT CIA TEXTIL,ARPS4.SA,30/06/2004
272,AZEV4,5.43,0.0,-3.94,0.0,"0,00%",6.611,182.62,0.0,-3.22,0.0,0.0,"0,00%","0,00%",1.06,"0,00%","0,00%",8990370.0,-75136000.0,0.0,"-82,30%",Construção e Engenharia,Construção Pesada,AZEVEDO & TRAVASSOS,AZEV4.SA,30/06/2021
273,MODL4,4.3,0.0,2.24,0.0,"0,50%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",852253.0,1353050000.0,0.0,"0,00%",Intermediários Financeiros,Bancos,MODALMAIS,MODL4.SA,30/06/2021
274,BBTG11,15.01,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,0.0,0.0,"0,00%",Intermediários Financeiros,Bancos,BTG PACTUAL UNITS,BBTG11.SA,30/09/2012
275,BPAT33,20.0,0.0,0.82,0.0,"35,72%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,876492000.0,0.0,"0,00%",Intermediários Financeiros,Bancos,Patagonia,BPAT33.SA,30/06/2019
276,BRIT3,12.7,0.0,41.35,0.0,"0,00%",3.734,-166.0,0.0,-6.16,0.0,0.0,"0,00%","0,00%",0.93,"0,00%","0,00%",7751850.0,137949000.0,8.15,"0,00%",Telecomunicações,Telecomunicações,BRISANET,BRIT3.SA,30/06/2021
277,JFAB4,0.06,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-112.33,-112.33,"0,00%","0,00%",0.0,"0,00%","2,34%",0.0,-10183000.0,0.0,"0,00%",Not found,Not found,JARAGUA FABRIL,JFAB4.SA,30/09/2002
278,RECV3,15.2,0.0,2.0,0.0,"0,00%",1.154,4.84,0.0,-794.79,0.0,0.0,"0,00%","0,00%",2.31,"0,00%","0,00%",12805900.0,1890700000.0,0.43,"0,00%","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PETRORECONCA,RECV3.SA,30/06/2021
279,SALM3,5.7,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,1.1,1.1,"10,22%","4,13%",1.31,"25,78%","19,53%",0.0,475600000.0,0.8,"24,53%",Not found,Not found,SEARA ALIMENTOS,SALM3.SA,31/12/2004
280,ENJU3,6.45,0.0,2.74,0.0,"0,00%",2.542,2.93,0.0,2.95,0.0,0.0,"0,00%","0,00%",14.57,"0,00%","0,00%",20177800.0,466251000.0,0.0,"0,00%",Programas e Serviços,Programas e Serviços,ENJOEI,ENJU3.SA,30/06/2021
281,APER3,42.5,0.0,2.22,0.0,"0,00%",1.389,0.0,412.86,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",7178890.0,291911000.0,0.0,"3,15%",Previdência e Seguros,Corretoras de Seguros,ALPER S.A.,APER3.SA,30/06/2021
282,ESTC4,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,6.74,2.85,"11,11%","4,05%",1.56,"6,23%","5,20%",0.0,3261920000.0,1.56,"5,05%",Diversos,Serviços Educacionais,YDUQS PART,ESTC4.SA,30/06/2021
283,SJOS3,1.19,0.0,-0.1,0.0,"0,00%",4.052,-0.11,0.0,-0.1,0.0,0.0,"0,00%","0,00%",0.02,"0,00%","0,00%",0.0,-159333000.0,-0.2,"0,00%","Tecidos, Vestuário e Calçados",Fios e Tecidos,SÃO JOSÉ,SJOS3.SA,30/06/2021
284,CLSC6,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,2283950000.0,0.0,"9,35%",Energia Elétrica,Energia Elétrica,CELESC,CLSC6.SA,30/06/2021
285,TNEP3,3.01,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-1.09,-1.09,"20,92%","25,42%",2.39,"20,53%","22,80%",0.0,955105000.0,0.06,"8,15%",Not found,Not found,TELE NORDESTE CELULAR PARTICIPAÇÕES S.A.,TNEP3.SA,30/06/2004
286,PTIP4,25.15,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,3.62,3.62,"13,73%","7,55%",0.7,"23,13%","-121,74%",0.0,-155957000.0,-9.02,"62,11%",Not found,Not found,IPIRANGA PETROQUIMICA SA,PTIP4.SA,31/12/2003
287,CCHI4,0.02,0.0,-0.01,0.0,"0,00%",0.077,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,-160477000.0,0.0,"20,36%",Construção e Engenharia,Produtos para Construção,CHIARELLI,CCHI4.SA,30/06/2014
288,EQMA6B,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,3241580000.0,0.0,"7,42%",Energia Elétrica,Energia Elétrica,CEMAR MB,EQMA6B.SA,30/06/2021
289,ARML3,21.96,0.0,57.29,0.0,"0,00%",8.959,87.26,0.0,-15.72,0.0,0.0,"0,00%","0,00%",1.6,"0,00%","0,00%",19644500.0,132536000.0,4.73,"0,00%",Diversos,Aluguel de carros,ARMAC,ARML3.SA,30/06/2021
290,MODL11,14.61,0.0,2.53,0.0,"0,44%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",14063400.0,1353050000.0,0.0,"0,00%",Intermediários Financeiros,Bancos,MODALMAIS,MODL11.SA,30/06/2021
291,MSAN3,6.44,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.21,0.21,"6,27%","2,42%",1.18,"11,78%","11,81%",0.0,2533030000.0,0.39,"101,35%",Not found,Not found,BUNGE BRASIL S.A.,MSAN3.SA,30/06/2004
292,BERG3,33.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-10.49,-10.49,"-8,60%","-32,60%",0.46,"-5,58%","-102,71%",0.0,9538000.0,2.86,"-8,00%",Not found,Not found,BERGAMO,BERG3.SA,30/09/2003
293,TTEN3,10.45,0.0,6.02,0.0,"0,00%",1.384,11.15,0.0,25.15,0.0,0.0,"0,00%","0,00%",1.18,"0,00%","0,00%",22193400.0,857050000.0,1.12,"0,00%",Agropecuária,Agricultura,3TENTOS,TTEN3.SA,30/06/2021
294,SCLO4,0.41,0.0,-2.45,0.0,"0,00%",20.917,-2.25,0.0,-2.23,0.0,0.0,"0,00%","0,00%",0.02,"0,00%","0,00%",0.0,-160936.0,-0.17,"6,01%","Tecidos, Vestuário e Calçados",Fios e Tecidos,SCHLOSSER TECIDOS,SCLO4.SA,30/06/2021
295,REPA3,1.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,4.54,4.54,"5,18%","1,22%",1.99,"4,05%","1,91%",0.0,378378000.0,0.42,"1,09%",Not found,Not found,ELECTROLUX,REPA3.SA,31/03/2004
296,VNET3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,9807280000.0,0.0,"-17,05%",Serviços Financeiros Diversos,Serviços Financeiros Diversos,CIELO,VNET3.SA,30/06/2021
297,CMMA4,0.81,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.03,0.03,"0,00%","0,00%",0.0,"0,00%","-1,92%",0.0,-79623000.0,0.0,"0,00%",Not found,Not found,CMA PARTICIPACOES SA,CMMA4.SA,31/12/2004
298,GALO3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-0.0,-0.0,"13,98%","-184,58%",0.0,"39,37%","7,62%",0.0,-60607000.0,0.0,"-28,97%",Not found,Not found,EMEEGE ESCAPAMENTOS,GALO3.SA,31/03/2004
299,CSPC3,1.24,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,1.43,1.43,"38,62%","18,85%",1.43,"29,18%","45,33%",0.0,2126670000.0,1.48,"41,15%",Not found,Not found,COSIPA,CSPC3.SA,31/12/2004
300,ECIS3,211.65,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,1.53,1.53,"34,90%","14,18%",1.38,"12,48%","7,33%",0.0,129346000.0,0.38,"4,66%",Not found,Not found,ECISA,ECIS3.SA,31/12/2004
301,AERI3,8.19,0.0,6.23,0.0,"0,00%",2.553,6.55,0.0,102.4,0.0,0.0,"0,00%","0,00%",2.73,"0,00%","0,00%",30158100.0,1006990000.0,1.11,"0,00%",Máquinas e Equipamentos,Máq. e Equip. Industriais,AERIS,AERI3.SA,30/06/2021
302,CLSA3,28.5,0.0,133.4,0.0,"0,00%",19.324,134.86,0.0,-73.78,0.0,0.0,"0,00%","0,00%",1.32,"0,00%","0,00%",20388300.0,38694000.0,3.22,"0,00%",Serviços Financeiros Diversos,Serviços Financeiros Diversos,CLEARSALE,CLSA3.SA,30/06/2021
303,IFCM3,16.4,0.0,4.32,0.0,"0,00%",2.938,5.71,0.0,7.5,0.0,0.0,"0,00%","0,00%",3.61,"0,00%","0,00%",16124800.0,921911000.0,0.1,"0,00%",Programas e Serviços,Programas e Serviços,INFRACOMM,IFCM3.SA,30/06/2021
304,BPNM3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","13,20%",0.0,5558560000.0,0.0,"11,86%",Intermediários Financeiros,Bancos,BANCO PAN,BPNM3.SA,30/06/2021
305,INHA3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,8.16,7.25,"8,04%","-0,10%",1.75,"2,65%","-0,09%",0.0,1630560000.0,0.78,"18,80%",Construção Civil,Incorporações,GAFISA,INHA3.SA,30/06/2021
306,LATS3,22.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,1.27,1.27,"11,74%","1,30%",1.67,"11,63%","1,84%",0.0,680646000.0,0.39,"15,37%",Not found,Not found,REXAM BEVERAGE CAN SOUTH AMERICA,LATS3.SA,31/03/2004
307,AGEI3,7.8,0.0,1.25,0.0,"0,00%",0.47,1.39,0.0,-12.59,0.0,0.0,"0,00%","0,00%",2.45,"0,00%","0,00%",0.0,1878210000.0,1.01,"0,00%",Construção Civil,Incorporações,AGRE EMP IMOB,AGEI3.SA,31/03/2010
308,VVEO3,24.0,0.0,4.64,0.0,"0,00%",1.283,4.31,0.0,-17.76,0.0,0.0,"0,00%","0,00%",1.84,"0,00%","0,00%",4493600.0,1480360000.0,1.2,"0,00%",Comércio e Distribuição,Medicamentos e Outros Produtos,VIVEO,VVEO3.SA,30/06/2021
309,SEBB4,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-0.23,-0.23,"9,24%","7,40%",2.44,"24,15%","23,01%",0.0,145783000.0,0.01,"50,04%",Diversos,Serviços Educacionais,SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A,SEBB4.SA,30/09/2010
310,SLCP3,610.02,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,0.0,0.0,"0,00%",Not found,Not found,SULACAP,SLCP3.SA,30/09/2004
311,DESK3,23.16,0.0,11.13,0.0,"0,00%",2.525,-48.76,0.0,-4.41,0.0,0.0,"0,00%","0,00%",0.79,"0,00%","0,00%",9471420.0,181036000.0,2.35,"0,00%",Telecomunicações,Telecomunicações,DESKTOPSIGMA,DESK3.SA,30/06/2021
312,BOVH3,15.71,0.0,6.16,0.0,"0,00%",4.874,6.9,0.0,6.91,0.0,0.0,"0,00%","0,00%",4.4,"0,00%","0,00%",0.0,1843320000.0,0.0,"0,00%",Serviços Financeiros Diversos,Serviços Financeiros Diversos,Bovespa Hld,BOVH3.SA,30/06/2008
313,VSPT3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,4959940000.0,0.0,"0,00%",Transporte,Transporte Ferroviário,FERROVIA CENTRO-ATLÂNTICA S.A.,VSPT3.SA,31/03/2021
314,SGEN3,5.0,0.0,0.77,593.76,"0,00%",0.493,-8.34,-31.73,-2.01,-32.42,-32.42,"-1.871,17%","0,00%",0.65,"-1,59%","0,00%",0.0,156981000.0,0.02,"-59,85%",Construção Civil,Incorporações,SERGEN,SGEN3.SA,30/09/2011
315,ODER3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,323677000.0,0.0,"16,16%",Alimentos Processados,Alimentos Diversos,CONSERVAS ODERICH SA,ODER3.SA,30/06/2021
316,TRAD3,8.36,0.0,47.86,0.0,"0,00%",14.567,88.21,0.0,-46.17,0.0,0.0,"0,00%","0,00%",1.77,"0,00%","0,00%",18586400.0,48877000.0,1.64,"0,00%",Programas e Serviços,Programas e Serviços,TC,TRAD3.SA,30/06/2021
317,LAND3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,0.0,0.0,"0,00%",Agropecuária,Agricultura,TERRASANTAPA,LAND3.SA,22/08/2021
318,SALM4,5.9,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,1.1,1.1,"10,22%","4,13%",1.31,"25,78%","19,53%",0.0,475600000.0,0.8,"24,53%",Not found,Not found,SEARA ALIMENTOS,SALM4.SA,31/12/2004
319,LVTC3,22.99,0.0,8.9,0.0,"0,00%",1.359,227.28,0.0,-3.93,0.0,0.0,"0,00%","0,00%",1.01,"0,00%","0,00%",8219440.0,165905000.0,4.04,"0,00%",Programas e Serviços,Programas e Serviços,WDC NETWORKS,LVTC3.SA,30/06/2021
320,VVAX3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-4.44,-4.44,"-7,36%","-37,76%",2.19,"-6,52%","-92,03%",0.0,144676000.0,1.55,"0,00%",Not found,Not found,VIVAX SA,VVAX3.SA,30/06/2007
321,SJOS4,0.09,0.0,-0.01,0.0,"0,00%",0.306,-0.01,0.0,-0.01,0.0,0.0,"0,00%","0,00%",0.02,"0,00%","0,00%",0.0,-159333000.0,-0.2,"0,00%","Tecidos, Vestuário e Calçados",Fios e Tecidos,SÃO JOSÉ,SJOS4.SA,30/06/2021
322,GGPS3,19.59,0.0,6.52,0.0,"0,00%",2.531,7.89,0.0,-40.54,0.0,0.0,"0,00%","0,00%",2.4,"0,00%","0,00%",23721100.0,2006640000.0,0.66,"0,00%",Serviços Diversos,Serviços Diversos,GPS,GGPS3.SA,30/06/2021
323,DAYC3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","17,33%",0.0,3009030000.0,0.0,"8,15%",Intermediários Financeiros,Bancos,Daycoval,DAYC3.SA,31/12/2017
324,TNEP4,3.95,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-1.09,-1.09,"20,92%","25,42%",2.39,"20,53%","22,80%",0.0,955105000.0,0.06,"8,15%",Not found,Not found,TELE NORDESTE CELULAR PARTICIPAÇÕES S.A.,TNEP4.SA,30/06/2004
325,LECO3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-3.0,-3.0,"-2,14%","-4,72%",0.82,"-3,48%","-14,82%",0.0,105928000.0,0.2,"3,58%",Not found,Not found,LECO,LECO3.SA,30/09/2008
326,VGOR3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,6.77,6.77,"4,50%","-4,59%",1.04,"6,00%","-24,29%",0.0,135178000.0,1.89,"4,77%",Not found,Not found,VIGOR,VGOR3.SA,30/09/2008
327,SASG3,0.98,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,0.0,0.0,"0,00%",Previdência e Seguros,Seguradoras,SUL AMERICA SEGUROS,SASG3.SA,31/12/2007
328,MATD3,21.19,0.0,5.07,0.0,"0,00%",3.072,4.95,0.0,9.31,0.0,0.0,"0,00%","0,00%",7.08,"0,00%","0,00%",14998100.0,1485340000.0,0.19,"0,00%",Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,MATER DEI,MATD3.SA,30/06/2021
329,SFSA3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","6,25%",0.0,739524000.0,0.0,"0,15%",Intermediários Financeiros,Bancos,Sofisa,SFSA3.SA,30/09/2016
330,ARPS3,0.3,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-14.08,-14.08,"-4,92%","-11,59%",0.91,"-6,64%","20,34%",0.0,-12690000.0,-1.24,"-17,53%",Not found,Not found,DOUAT CIA TEXTIL,ARPS3.SA,30/06/2004
331,MLAS3,9.2,0.0,4.12,0.0,"0,00%",1.413,3.27,0.0,5.67,0.0,0.0,"0,00%","0,00%",1.91,"0,00%","0,00%",26869500.0,1830450000.0,0.67,"0,00%",Computadores e Equipamentos,Computadores e Equipamentos,MULTILASER,MLAS3.SA,30/06/2021
332,AZEV3,7.07,0.0,-5.12,0.0,"0,00%",8.608,237.78,0.0,-4.19,0.0,0.0,"0,00%","0,00%",1.06,"0,00%","0,00%",1616670.0,-75136000.0,0.0,"-82,30%",Construção e Engenharia,Construção Pesada,AZEVEDO & TRAVASSOS,AZEV3.SA,30/06/2021
333,MODL3,5.98,0.0,3.11,0.0,"0,36%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",420311.0,1353050000.0,0.0,"0,00%",Intermediários Financeiros,Bancos,MODALMAIS,MODL3.SA,30/06/2021
334,FIQE3,8.45,0.0,24.27,0.0,"0,00%",4.593,-132.82,0.0,-8.18,0.0,0.0,"0,00%","0,00%",0.88,"0,00%","0,00%",9688360.0,124213000.0,2.39,"0,00%",Telecomunicações,Telecomunicações,UNIFIQUE,FIQE3.SA,30/06/2021
335,MSAN4,6.44,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.21,0.21,"6,27%","2,42%",1.18,"11,78%","11,81%",0.0,2533030000.0,0.39,"101,35%",Not found,Not found,BUNGE BRASIL S.A.,MSAN4.SA,30/06/2004
336,DUFB11,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,0.0,0.0,"0,00%",Comércio,Produtos Diversos,DUFRY SOUTH AMERICA LTD.,DUFB11.SA,22/08/2021
337,PTIP3,22.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,3.62,3.62,"13,73%","7,55%",0.7,"23,13%","-121,74%",0.0,-155957000.0,-9.02,"62,11%",Not found,Not found,IPIRANGA PETROQUIMICA SA,PTIP3.SA,31/12/2003
338,BRBI11,24.33,0.0,3.48,0.0,"0,00%",1.787,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",19090600.0,731100000.0,0.0,"0,00%",Intermediários Financeiros,Bancos,BR PARTNERS,BRBI11.SA,30/06/2021
339,REPA4,1.08,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,4.54,4.54,"5,18%","1,22%",1.99,"4,05%","1,91%",0.0,378378000.0,0.42,"1,09%",Not found,Not found,ELECTROLUX,REPA4.SA,31/03/2004
340,CCHI3,0.02,0.0,-0.01,0.0,"0,00%",0.077,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,-160477000.0,0.0,"20,36%",Construção e Engenharia,Produtos para Construção,CHIARELLI,CCHI3.SA,30/06/2014
341,EQMA5B,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,3241580000.0,0.0,"7,42%",Energia Elétrica,Energia Elétrica,CEMAR MB,EQMA5B.SA,30/06/2021
342,GALO4,0.25,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,-0.0,-0.0,"13,98%","-184,58%",0.0,"39,37%","7,62%",0.0,-60607000.0,0.0,"-28,97%",Not found,Not found,EMEEGE ESCAPAMENTOS,GALO4.SA,31/03/2004
